y,t,g,Q
1,0,0.3908127883720813,0.5992343181414698
0,0,0.05623337511138607,0.2708005206703409
1,0,0.5694453939511248,0.7688276466085316
1,0,2.325581395348837e-05,0.49823375652577667
1,0,0.44117847917541814,0.7372967616525398
0,0,0.005380158730158731,0.021811494917303498
1,0,0.547969121126341,0.9529599699750338
1,0,0.028800747932719185,0.9991805586628532
0,0,2.325581395348837e-05,0.0004897959183673469
1,0,0.4476041694058469,0.9529599699750338
1,0,0.15423111694057837,0.9164228500541558
1,0,0.46877579605747344,0.6631689291895825
0,0,0.0,0.31556030805628404
1,0,0.15869206287185766,0.9567312732109319
1,0,0.39637314759120934,0.7372967616525398
1,0,0.41864337704025073,0.9253294055857917
1,0,0.4849286483459267,0.6343272955846504
1,0,0.40369102780347815,0.8305598614168871
0,0,0.32247539682539694,0.013783165871086493
1,0,0.1895609140712589,0.9206717058295596
0,0,0.5393685272186677,0.6764407025781682
1,0,0.4925042053210831,0.7771093563896211
0,0,0.6001342474486073,0.5067942736931474
1,0,0.15869206287185766,0.9221845846601784
1,0,0.36397167338742004,0.7372967616525398
0,0,0.5385827424248674,0.6786051677268095
1,0,0.5725612400308902,0.6302202586372511
1,0,0.28392234266059324,0.9353116971468294
1,0,0.4476041694058469,0.9653736798172163
1,0,0.0,0.3657201002775096
1,0,0.06939888341659947,0.9964207412309228
0,0,0.5444180429719974,0.547583620162084
1,0,0.09481395978734035,0.9991805586628532
1,0,0.096563549621625,0.9976071647026524
1,0,0.5402862507102555,0.9719136610325705
1,0,0.4849286483459267,0.6463681825582873
1,0,0.010909279754157794,0.9904845016237649
1,0,0.5617662364715442,0.9719136610325705
0,0,0.0370223602371736,0.2708005206703409
1,0,0.41864337704025073,0.9286821984569554
0,0,2.325581395348837e-05,0.5258067305788349
1,0,0.49081112719227954,0.6469288021881976
1,0,0.25671358821117474,0.9124714956716741
1,0,0.4921725535514568,0.7919014797344263
1,0,0.15937688173707495,0.9221845846601784
1,0,0.0733765656825522,0.9587152957310707
1,0,0.5094903424023994,0.6786051677268095
1,0,0.5984700171099203,0.488434601128634
1,0,0.1192691518551487,0.8917219161147127
1,0,0.0,0.34234327331543457
0,0,0.4978844095865325,0.6590931903444475
1,0,0.03025263982461107,0.9991805586628532
1,0,0.14721700890011738,0.9458055969702129
1,0,0.028800747932719185,0.9964207412309228
1,0,0.5370234203865382,0.5936172741651718
1,0,0.0,0.49823375652577667
1,0,0.25671358821117474,0.9124714956716741
1,0,0.5747873993682496,0.7407051527859927
1,0,0.5615639490751948,0.7157058193331196
0,0,0.1499012109025903,0.9609608979106056
1,0,0.3017053550204223,0.9293156916604105
1,0,0.3017053550204223,0.9254162682817821
0,0,0.0,0.4812083237233477
1,0,0.1499012109025903,0.9293768584669436
1,0,0.25380005192485094,0.9142943536470215
0,0,0.5444735731667553,0.5785527499749877
1,0,0.2295652547808047,0.9219442623091808
1,0,0.4899953043092046,0.6309001671222197
1,0,0.07947517733189582,0.9976071647026524
1,0,0.15549626484470377,0.9235018661619309
0,0,0.0,0.49823375652577667
0,0,0.5103752767226685,0.5511186929911712
0,0,0.5551110980933566,0.6629630485748443
0,0,0.0,0.3428272970716941
1,0,0.3017053550204223,0.9386990786192614
1,0,0.19820608863629088,0.469301011445529
0,0,0.2450246040923923,0.469301011445529
1,0,0.29059948436804617,0.8464349999855955
0,0,0.36397167338742004,0.8707611157452526
1,0,0.4688101057745514,0.7673966949304974
1,0,0.5622327817589385,0.9589431852440143
1,0,0.5393685272186677,0.6719955982973884
1,0,0.36397167338742004,0.9340041973055014
1,0,0.44117847917541814,0.8707611157452526
1,0,0.0,0.41868000014002815
1,0,0.29059948436804617,0.8731945914353051
0,0,0.30889496717447645,0.7940920354074308
1,0,0.14262348950161657,0.9293768584669436
0,0,0.5252773347834034,0.6084381289833598
1,0,0.25671358821117474,0.9142943536470215
1,0,0.09753185189981999,0.9458055969702129
0,0,0.02752222222222222,0.2386301432413372
1,0,0.010909279754157794,0.9964207412309228
1,0,0.470281850443444,0.9653736798172163
0,0,0.39978521530088923,0.5904857625218775
1,0,0.00799708978169623,0.41952502096783734
0,0,0.5747873993682496,0.7407051527859927
1,0,0.48916023559997296,0.5838452437570251
1,0,0.5956488350464544,0.6180939364527176
1,0,0.5029338166502112,0.8103187317291749
1,0,0.5730435223949347,0.5261432020555046
1,0,0.5192508244365358,0.709585575786604
1,0,0.30889496717447645,0.7686285391831115
0,0,0.5551110980933566,0.6629630485748443
1,0,0.0,0.3008182491147505
0,0,0.4782114711600269,0.6343272955846504
1,0,0.5226183979289072,0.9589431852440143
0,0,0.5444885626815322,0.787203213570427
1,0,0.29059948436804617,0.7940920354074308
1,0,0.48054951216939495,0.5838452437570251
1,0,0.03934567549151229,0.9563593651625762
1,0,0.2773738518570898,0.9293156916604105
1,0,0.2592682205321415,0.6278171896941315
1,0,0.0750404085683929,0.9976071647026524
1,0,0.06939888341659947,0.9964207412309228
1,0,0.0,0.3514867283448971
1,0,0.0,0.32840352885524965
0,0,0.5846007546835968,0.7688276466085316
1,0,0.41864337704025073,0.9221816291505512
1,0,0.5171750465525418,0.9215614222831535
1,0,0.5551110980933566,0.6629630485748443
1,0,0.08776879149112565,0.9964207412309228
1,0,0.15937688173707495,0.9567312732109319
0,0,2.325581395348837e-05,0.3809181338770749
